,trigger=\N,trigger=assignment,trigger=automation,trigger=dm,trigger=introduction,trigger=manual,trigger=mention,trigger=scheduled,trigger=task_comment_mention,trigger=unknown
search_clickup_support_resources,0.0012880375113983658,0.0007254183468639212,-0.004376404156937049,0.012587878362575213,-0.016806113590805565,-0.000587304232419126,0.0047764472646764835,0.007163489966012258,-0.00211209044738031,-0.006787086700845836
search_google_calendar,-0.024339598495369,-0.006920914772571017,-0.01765604197837956,-0.031888471102633736,-0.05670632814604597,0.007502097235160055,-0.002349461485149701,0.14122614493373298,-0.010499736769299458,-0.02159671358549656
search_public_web,-0.018875614131290786,0.020773338702158764,-0.024180790409278445,0.002013154722248062,-0.07131738310373045,0.006751358751012213,0.004916906151257207,0.10479436724980817,0.009679484008799415,-0.02862294062148586
search_users_and_teams,-0.019468641201215973,-6.31833729107437e-05,0.024804746364842756,-0.01995451090342694,-0.0583411632204562,0.02570232776359168,0.003911043375907933,0.08883517922674992,0.007187740128391378,-0.023064919507371193
search_workspace,-0.04815493221051498,0.019858320520695187,-0.015555783246395907,-0.0217600700002617,-0.17532412151907897,0.01913437377941366,0.009285412783502716,0.2768040679448692,0.005222977090275919,-0.07086672467751505
todo_write,-0.1432306191288144,0.11182184550752335,0.21501520295476073,-0.16457589664750083,-0.4331932897532079,0.037300009839686184,0.008380255636743559,0.6463577321259463,0.04672230269267091,-0.1727022403169034
update_chat_message,-0.0036402843121903987,0.018848057221095314,0.010862251185099822,-0.0016494033491702388,-0.005521876624698977,-0.0003130741729533141,0.005361879495931209,-0.0013311099707900953,0.0009431158382755565,-0.0020398457695091233
update_comment,0.0031302373387406667,0.010095503858204232,0.033232126453129736,-0.007148968405077263,-0.019921898514235162,-0.0011295130849367707,-0.0022097238539510585,-0.004496172873302486,0.031244952304272367,-0.0073593821750894215
update_document,-0.01622749049347874,0.004204399141918919,0.0019774350317242027,0.021829801940456087,-0.06627662037019703,0.0011445801179880276,0.014684626167943627,0.05443370539160293,0.025807296672750727,-0.02555249340195577
update_google_calendar_event,-0.008618063554131323,-0.00275301522687815,0.0005967667406646172,0.01304595821555929,-0.0146790148114549,-0.0008523302975746897,0.008101815085173826,0.009358258013931498,-0.0011942023046333516,-0.005553387988958982
update_task,-0.023801844088560363,0.08020666114052481,0.20935166323394233,-0.016696999183118257,-0.10767227164259117,-0.0013029381265418302,0.009705559937869783,-0.007649889066924254,0.06415336710595865,-0.04206429254314386
view_tools_catalog,-0.06655512854481799,0.0026118158291954193,-0.030736706999166113,0.13264369290830155,-0.1336233517333566,0.012448373423918259,0.013352874417408343,0.07450600402564031,0.021524742094474,-0.055180568985023576
write_memory,-0.0055436902660749784,0.004473906152601036,-0.010344557043823767,0.0907880110192798,-0.117901932361654,-0.0007701378403973825,0.021230762459342585,0.03798484173101701,0.015436098429384034,-0.04556782443167345
